id,name,url,owner,format,access,key_fields,privacy_risk,priority,status,notes
D001,Help1RVA Service Directory,https://help1rva.com,Help1RVA / City of Richmond,Web/API (uncertain),Public browse; API uncertain,"org name, service type, languages, address, hours",Low — public directory,High,Unverified export format,"Primary service data source; export format needs verification before hackathon"
D002,FindHelp / Aunt Bertha,https://www.findhelp.org,FindHelp Inc.,Web/API,Public browse; API requires partnership,"program name, category, eligibility, instructions",Low — public directory,Medium,Accessible but API gated,"National platform; Richmond coverage exists; interoperability with Help1RVA is gap"
D003,Virginia 211,https://www.211virginia.org,Virginia 211,Web,Public,"service categories, provider names, contacts, coverage",Low — public directory,Medium,Accessible,"Statewide; Richmond coverage may be thinner than Help1RVA"
D004,US Census ACS — Language and Nativity,https://data.census.gov,US Census Bureau,CSV/API,Public,"foreign-born population, language spoken at home, English proficiency, year of entry",None — aggregate only,High,Accessible,"5-year estimates; use for population context only; no individual data"
D005,Virginia Office of New Americans,https://www.dss.virginia.gov/community/oan.cgi,Virginia DSS,Reports/PDFs,Public,"refugee arrivals, resettlement locations, program participation",Low — aggregate data,Medium,Partial — reports only,"State aggregate; Richmond-specific numbers may require direct contact"
D006,City of Richmond Open Data,https://data.richmondgov.com,City of Richmond,CSV/GeoJSON,Public,Varies by dataset,Low — public data,Medium,Unverified,"Social services section may be limited; verify coverage before relying on it"
D007,GRTC Transit — GTFS Feed,https://ridegrtc.com,GRTC,GTFS,Public,"route lines, stop locations, frequency, schedules",None — public infrastructure,Low,Accessible,"Useful for transit access overlay on service maps"
D008,United Way Richmond Partner Directory,https://www.unitedwayric.org,United Way of Greater Richmond & Petersburg,Web,Public browsing,"organization names, program descriptions, contact info",Low — public directory,Medium,Unverified,"Useful for compiling community org list; no structured export known"
D009,Richmond Community Foundation Grantees,https://www.rcfoundation.org,Richmond Community Foundation,Web,Public browsing,"grantee names, focus areas, contact info",Low — public directory,Low,Unverified,"Useful for identifying organizations serving immigrant/refugee communities"
D010,Cross-Agency Referral Pathway,N/A — does not exist,N/A,N/A,N/A,N/A,N/A — data does not exist,Critical blocker,Missing,"D3=1; this is the primary data gap for Statement 2; no cross-agency intake dataset exists"
D011,Priority Language Usage by Organization,N/A — must be manually compiled,Community organizations,Manual research,Requires direct outreach,"org name, languages served, communication channels used",Low,High,Missing,"Anecdotally: Spanish, Arabic, Nepali, Burmese likely; needs confirmation"
D012,WhatsApp and SMS Channel Usage Patterns,N/A — qualitative research needed,Community organizations/residents,Interviews/surveys,Requires direct outreach,"channels used, frequency, reach, trusted senders",Medium — community knowledge,High,Missing,"Critical for trusted messenger tool design; no public data source"
